MedicineID,MedicineName,DosageForm,Category,Type,UnitPrice,SupplierID,RequiresPrescription,StorageCondition
MED0110,Voltfast 50Mg 30 Satchet,Powder,Dermatology,Drug,24.08,SUP004,Yes,Cool & Dry
MED0111,Betasonate Eye Ointment,Eye Ointment,Ophthalmic,Drug,31.65,SUP007,No,Room Temperature
MED0112,Nidazole 500Mg,Tablet,Oral Solid,Drug,6.37,SUP005,Yes,Cool & Dry
MED0113,Loperamide  2Mg,Tablet,Oral Solid,Drug,10.76,SUP014,Yes,Room Temperature
MED0114,Amoclan Forte 625Mg Hikma,Tablet,Oral Solid,Drug,4.81,SUP006,No,Cool & Dry
MED0115,Doxycreat 100Mg,Tablet,Oral Solid,Drug,18.38,SUP012,Yes,Room Temperature
MED0116,Uriage Hyseac Spf 50 Fluid 50Ml,Cream,Topical,Supply,35.21,SUP004,Yes,Cool & Dry
MED0117,Paraxone 300Mg,Tablet,Oral Solid,Supply,7.02,SUP009,Yes,Room Temperature
MED0118,Drains The Oil,Capsule,Oral Solid,Supply,13.32,SUP001,Yes,Cool & Dry
MED0119,C-Lax  25Tab,Tablet,Oral Solid,Drug,12.77,SUP011,Yes,Room Temperature
MED0120,Selovita-D3 300.000 I.U/Ml,Injection,Injectable,Drug,20.7,SUP015,No,Room Temperature
MED0121,Multivitamin Hansal,Tablet,Oral Solid,Drug,15.61,SUP011,No,Room Temperature
MED0122,Kiloloss,Capsule,Oral Solid,Supply,11.48,SUP005,No,Room Temperature
MED0123,Isis Teen Derm,Gel,Topical,Supply,31.81,SUP005,No,Room Temperature
MED0124,Ferplex 40Mg,Solution,Oral Liquid,Drug,10.49,SUP013,No,Cool & Dry
MED0125,Bioderma Atoderm Pain,Soap,Personal Care,Supply,2.02,SUP003,No,Refrigerated
MED0126,Kidsvital Multivitamin Tonic Sunlife,Syrup,Oral Liquid,Drug,7.19,SUP002,No,Refrigerated
MED0127,Diane 35,Tablet,Oral Solid,Drug,1.86,SUP001,No,Cool & Dry
MED0128,Vitadine 200Ml,Syrup,Oral Liquid,Drug,16.87,SUP002,Yes,Refrigerated
MED0129,Artelac Single Dose Ed,Drop,Oral Liquid,Drug,16.06,SUP008,No,Refrigerated
MED0130,Gel Mouss Effaclar 200Ml,Gel,Topical,Supply,33.77,SUP006,Yes,Room Temperature
MED0131,Bioderma Sensibio Ar,Cream,Topical,Supply,14.38,SUP015,Yes,Room Temperature
MED0132,Collafix 60Cap,Capsule,Oral Solid,Drug,2.57,SUP012,No,Room Temperature
MED0133,Scarmed Silicon Gel,Gel,Topical,Drug,35.49,SUP001,Yes,Room Temperature
MED0134,Cefodox 200Mg,Tablet,Oral Solid,Drug,19.02,SUP010,No,Room Temperature
MED0135,Marathon 60 Tab,Capsule,Oral Solid,Drug,3.08,SUP013,No,Room Temperature
MED0136,Trimoksazol  (400+80)Mg,Tablet,Oral Solid,Drug,10.49,SUP014,No,Refrigerated
MED0137,Pregabalin Accord 75Mg Hard,Capsule,Oral Solid,Drug,2.78,SUP007,No,Room Temperature
MED0138,Beneday 250/250/1/300Mg,Tablet,Oral Solid,Drug,15.57,SUP002,No,Room Temperature
MED0139,Arcoxia 90 Mg,Tablet,Oral Solid,Drug,15.67,SUP011,No,Room Temperature
MED0140,Bioflex Cream,Cream,Topical,Drug,7.75,SUP013,Yes,Refrigerated
MED0141,Nutra Sleep Well ( Healthy Pectin Gummy),Lozenge,Oral Solid,Supply,10.29,SUP015,No,Room Temperature
MED0142,La Roche-Posay Lipikar Lait Milk Skn,Milk Formula,Oral Liquid,Supply,10.8,SUP012,No,Room Temperature
MED0143,Sleep Aid Enjoy Your Sweet Dreams,Lozenge,Oral Solid,Drug,6.4,SUP008,No,Refrigerated
MED0144,Lrp Anthelis Xl Spf 50Dry Touch Cream,Gel,Topical,Supply,35.28,SUP001,Yes,Refrigerated
MED0145,Fast Fat Super 1&2 2*60,Tablet,Oral Solid,Supply,9.33,SUP012,No,Room Temperature
MED0146,Paracetamol 500Mg,Tablet,Oral Solid,Drug,5.42,SUP011,No,Room Temperature
MED0147,Exym 100Ml,Syrup,Oral Liquid,Supply,10.63,SUP002,No,Cool & Dry
MED0148,Gerovital Plant Stop Acnee Jel,Gel,Topical,Supply,30.01,SUP006,Yes,Room Temperature
MED0149,Lefox 500 Mg,Tablet,Oral Solid,Drug,5.22,SUP010,No,Room Temperature
MED0150,Schauma Kids Shampoo & Waschgel For Girl,Shampoo,Personal Care,Supply,10.73,SUP013,No,Room Temperature
MED0151,Lipster  5G,Cream,Topical,Drug,39.82,SUP015,No,Cool & Dry
MED0152,Avene Physiolift Night Cream 30Ml,Cream,Topical,Supply,27.05,SUP015,No,Cool & Dry
MED0153,Arcoxia 120Mg,Tablet,Oral Solid,Drug,9.6,SUP006,No,Room Temperature
MED0154,Depo-Medrol 80Mg Syring,Injection,Injectable,Drug,46.23,SUP012,Yes,Room Temperature
MED0155,Amoxicillin 500Mg,Capsule,Oral Solid,Drug,3.74,SUP011,No,Refrigerated
MED0156,Dentissimo Gold 75Ml,Toothpaste,Personal Care,Supply,8.29,SUP010,Yes,Refrigerated
MED0157,Moclavin 875/125Mg,Tablet,Oral Solid,Drug,7.75,SUP011,Yes,Refrigerated
MED0158,Caelin Ketovit Shampoo,Shampoo,Personal Care,Supply,18.47,SUP002,Yes,Room Temperature
MED0159,Vitarux Multi V Itamin,Syrup,Oral Liquid,Drug,5.68,SUP010,No,Room Temperature
MED0160,Tamsulin  Aiwa 0.4Mg,Capsule,Oral Solid,Drug,5.57,SUP005,Yes,Cool & Dry
MED0161,Cialis 5Mg,Tablet,Oral Solid,Drug,2.81,SUP012,Yes,Cool & Dry
MED0162,Tq-Flox 500,Tablet,Oral Solid,Drug,13.18,SUP014,No,Room Temperature
MED0163,Vitis Gingival,Mouthwash,Personal Care,Supply,8.41,SUP006,No,Refrigerated
MED0164,Alfacort Ointment,Ointment,Topical,Drug,36.5,SUP008,No,Cool & Dry
MED0165,Mecozalen Oral Gel 50G,Gel,Topical,Supply,34.81,SUP006,Yes,Cool & Dry
MED0166,Imavir Acyclovir Cream 5Mg,Cream,Topical,Supply,5.62,SUP012,No,Refrigerated
MED0167,Bioderma Photoderm Tinted  Max  Spf 50  40Ml,Cream,Topical,Supply,11.81,SUP013,No,Room Temperature
MED0168,Ultra Growth Plus 60Cap,Capsule,Oral Solid,Supply,13.88,SUP008,No,Refrigerated
MED0169,Kin Gingival  75Ml,Toothpaste,Personal Care,Supply,8,SUP006,No,Room Temperature
MED0170,Julmentin  2X  1000Mg,Tablet,Oral Solid,Drug,3.95,SUP008,No,Refrigerated
MED0171,Betasone Cream,Cream,Topical,Drug,37.61,SUP005,No,Room Temperature
MED0172,Pediatric Extra Mild 200Ml,Shampoo,Personal Care,Supply,17.99,SUP013,Yes,Room Temperature
MED0173,Julmentin Fort  625Mg,Tablet,Oral Solid,Drug,10.24,SUP008,No,Room Temperature
MED0174,Ibuprofen  400Mg,Tablet,Oral Solid,Drug,16.02,SUP006,No,Refrigerated
MED0175,Olfen-75,Injection,Injectable,Drug,66.52,SUP009,Yes,Room Temperature
MED0176,D.Dep Junior Drop 15Ml,Drop,Oral Liquid,Supply,5.05,SUP012,No,Refrigerated
MED0177,Glme+,Capsule,Oral Solid,Drug,3.29,SUP004,No,Cool & Dry
MED0178,Slim & Well,Capsule,Oral Solid,Drug,9.47,SUP004,No,Room Temperature
MED0179,Caelin %5 Sulfur,Soap,Personal Care,Supply,13.86,SUP010,No,Room Temperature
MED0180,Kapsol P-N 30,Capsule,Oral Solid,Drug,10.14,SUP003,No,Cool & Dry
MED0181,Kapsol G-A 30,Capsule,Oral Solid,Supply,14.99,SUP001,No,Room Temperature
MED0182,Fine`S Immune Booster Pectin Gummies,Lozenge,Oral Solid,Drug,13.96,SUP012,No,Refrigerated
MED0183,Zinc Oxide Ointment 25Gm,Ointment,Topical,Drug,39.41,SUP006,No,Cool & Dry
MED0184,Suprax  200Mg,Capsule,Oral Solid,Drug,3.32,SUP007,No,Room Temperature
MED0185,Ciprofloxacin 750Mg,Tablet,Oral Solid,Drug,8.95,SUP008,Yes,Cool & Dry
MED0186,Adhesive Roll Plaser Zinc-Oxid 3M*2.5Cm,Patch,Transdermal,Supply,28.57,SUP015,Yes,Room Temperature
MED0187,Bioflex Plus Bioactivet,Capsule,Oral Solid,Drug,17.44,SUP008,Yes,Refrigerated
MED0188,Nuro 360,Capsule,Oral Solid,Drug,6.1,SUP006,Yes,Cool & Dry
MED0189,Choline & Inositol 500/500Mg,Tablet,Oral Solid,Supply,5.02,SUP015,Yes,Room Temperature
MED0190,Tms Forte 800/160Mg,Tablet,Oral Solid,Drug,9.8,SUP013,Yes,Cool & Dry
MED0191,Sansafe Acneic  Oil Free Fpf 50+,Cream,Topical,Supply,18.61,SUP014,Yes,Room Temperature
MED0192,Dolomark 1000Mg,Tablet,Oral Solid,Drug,6.65,SUP007,No,Room Temperature
MED0193,Parazar Gesic,Tablet,Oral Solid,Drug,6.12,SUP008,Yes,Refrigerated
MED0194,Suprax D 400Mg,Tablet,Oral Solid,Drug,18.58,SUP014,Yes,Room Temperature
MED0195,Micropore 3M .. Plaster Qawayii,Patch,Transdermal,Supply,32.73,SUP015,No,Room Temperature
MED0196,B-White Scurb 100Ml,Cream,Topical,Supply,34.87,SUP008,No,Cool & Dry
MED0197,B-White Night Whiteing Cream 100Ml,Cream,Topical,Supply,23.36,SUP008,No,Cool & Dry
MED0198,B-White Facial Wash,Cream,Topical,Supply,4.87,SUP003,No,Cool & Dry
MED0199,Differin  Adapalene 0.1%  30G,Gel,Topical,Drug,39.97,SUP003,No,Room Temperature
MED0200,Isotretinion-10,Capsule,Oral Solid,Supply,16.97,SUP012,No,Cool & Dry
MED0201,Prednabene 5Mg,Tablet,Oral Solid,Drug,19.43,SUP013,Yes,Room Temperature
MED0202,Slimtol Green Coffee,Capsule,Oral Solid,Drug,18.64,SUP007,Yes,Cool & Dry
MED0203,Gastrogen 4500Mg,Powder,Dermatology,Supply,21.97,SUP007,No,Cool & Dry
MED0204,A-Ferin Plus 100Ml,Syrup,Oral Liquid,Drug,4.66,SUP001,Yes,Room Temperature
MED0205,Apetito Biofaktor 150Ml,Syrup,Oral Liquid,Supply,9.77,SUP014,No,Room Temperature
MED0206,Polaramine Repetabs,Tablet,Oral Solid,Drug,5.45,SUP003,Yes,Cool & Dry
MED0207,Supixime,Syrup,Oral Liquid,Drug,8.42,SUP013,No,Cool & Dry
MED0208,Trenaxa 500 Bp,Tablet,Oral Solid,Drug,2.58,SUP006,No,Room Temperature
MED0209,Urilax 5Mg,Tablet,Oral Solid,Drug,8.51,SUP007,No,Refrigerated
MED0210,Adva-Tonin,Capsule,Oral Solid,Supply,19.73,SUP014,No,Cool & Dry
MED0211,Sure Slim,Capsule,Oral Solid,Drug,6.41,SUP011,No,Cool & Dry
MED0212,Daily Complete Multivitamin Adva-Max,Tablet,Oral Solid,Supply,16.01,SUP003,No,Room Temperature
MED0213,Sliming Advanced,Tablet,Oral Solid,Drug,9.92,SUP007,No,Room Temperature
MED0214,Avene Emulsion Spf 50,Cream,Topical,Supply,18.65,SUP006,No,Refrigerated
MED0215,Mass Vita Vaseline,Ointment,Topical,Supply,38.42,SUP001,Yes,Room Temperature
MED0216,Ibuprofen Caps,Capsule,Oral Solid,Drug,19.92,SUP007,No,Room Temperature
MED0217,Hydroderm Acne Wash,Gel,Topical,Supply,23.56,SUP013,No,Cool & Dry
MED0218,Suprax  100Mg 60 Ml,Syrup,Oral Liquid,Drug,13.49,SUP014,No,Refrigerated
MED0219,Pedifen,Syrup,Oral Liquid,Drug,4.48,SUP011,Yes,Room Temperature
MED0220,Ultra Iron Plus,Capsule,Oral Solid,Drug,6.99,SUP015,No,Refrigerated
MED0221,Nausea Relief Capsule,Capsule,Oral Solid,Drug,19.42,SUP003,Yes,Room Temperature
MED0222,Largopen     500Mg,Capsule,Oral Solid,Drug,12.21,SUP003,Yes,Room Temperature
MED0223,Protecta,Tablet,Oral Solid,Drug,11.53,SUP010,Yes,Room Temperature
MED0224,Mome-M 30G,Cream,Topical,Supply,30.68,SUP003,Yes,Room Temperature
MED0225,Potenza 160/12.5/5 Mg,Tablet,Oral Solid,Drug,2.56,SUP004,No,Room Temperature
MED0226,Fastum Gel  (Refused B ),Gel,Topical,Drug,24.61,SUP002,No,Cool & Dry
MED0227,"Viga 150,000 - 45Ml",Spray,Respiratory,Supply,24.09,SUP001,No,Refrigerated
MED0228,Carbinib  Tab,Tablet,Oral Solid,Drug,17.28,SUP007,No,Cool & Dry
MED0229,Amikacin Sulfate 1000Mg,Injection,Injectable,Drug,21.02,SUP008,No,Cool & Dry
MED0230,Paracetamol 500Mg 10*10,Tablet,Oral Solid,Drug,19.27,SUP003,Yes,Room Temperature
MED0231,Head Lice Shampoo Deniz,Shampoo,Personal Care,Supply,4.24,SUP005,Yes,Room Temperature
MED0232,Laxodcodyl 5,Tablet,Oral Solid,Drug,4.94,SUP006,No,Cool & Dry
MED0233,Sefarin 300Mg,Capsule,Oral Solid,Drug,12.51,SUP004,No,Refrigerated
MED0234,Lactulose Aiwa,Syrup,Oral Liquid,Drug,12.8,SUP001,No,Cool & Dry
MED0235,Laxodep,Capsule,Oral Solid,Drug,5.85,SUP008,No,Cool & Dry
MED0236,Betasalek 50Ml,Lotion,Topical,Drug,7.44,SUP007,No,Cool & Dry
MED0237,Ebetrex 50Mg/5Ml,Injection,Injectable,Supply,72.32,SUP003,No,Cool & Dry
MED0238,Xylo Acino 0.1%,Spray,Respiratory,Drug,15.88,SUP005,No,Room Temperature
MED0239,Foltene Scalp Treatment Women,Injection,Injectable,Supply,51.62,SUP014,No,Room Temperature
MED0240,Cystiphane Biorga Lotion-Anti-Chute,Lotion,Topical,Supply,25.92,SUP014,No,Refrigerated
MED0241,Q2 Dha 12G Tab,Tablet,Oral Solid,Drug,9.26,SUP009,No,Room Temperature
MED0242,Zomax 500Mg,Tablet,Oral Solid,Drug,12.3,SUP005,No,Refrigerated
MED0243,Betaspan 4Mg/Ml,Injection,Injectable,Drug,46.59,SUP004,Yes,Room Temperature
MED0244,Peapod (Prenatal) 60Tab,Tablet,Oral Solid,Drug,18.79,SUP004,No,Room Temperature
MED0245,Letromara 2.5Mg,Tablet,Oral Solid,Drug,5.28,SUP008,No,Refrigerated
MED0246,Endogen Hp 75Iu,Injection,Injectable,Supply,60.13,SUP010,No,Room Temperature
MED0247,Injesta 2.5% 1Ml,Solution,Oral Liquid,Drug,5.82,SUP012,No,Room Temperature
MED0248,Ketoral,Shampoo,Personal Care,Supply,13.08,SUP008,Yes,Cool & Dry
MED0249,Amoclan Bid 1G,Tablet,Oral Solid,Drug,13.93,SUP007,No,Cool & Dry
MED0250,Betalek Ointent 30G,Ointment,Topical,Drug,14.1,SUP007,No,Room Temperature
MED0251,Bioderma Photoderm  Max  Spf 50  40Ml Toucher  Sec Dry Touch,Cream,Topical,Supply,14.7,SUP014,No,Cool & Dry
MED0252,Voltaren 100Mg,Suppository,Suppository,Drug,16.03,SUP003,Yes,Room Temperature
MED0253,Uronephron   60Tab,Tablet,Oral Solid,Drug,2.84,SUP008,No,Refrigerated
MED0254,Co-Codamol 8/500Mg,Tablet,Oral Solid,Drug,9.98,SUP011,Yes,Cool & Dry
MED0255,Brosin  0.4Mg,Capsule,Oral Solid,Drug,19.97,SUP001,Yes,Refrigerated
MED0256,Coral S Isotretionin 20,Capsule,Oral Solid,Drug,19.93,SUP006,Yes,Room Temperature
MED0257,Vermazol 100Mg,Tablet,Oral Solid,Supply,2.86,SUP002,No,Refrigerated
MED0258,Angizar-50Mg,Tablet,Oral Solid,Drug,5.44,SUP002,No,Cool & Dry
MED0259,Bglau 5Ml,Drop,Oral Liquid,Drug,6.24,SUP006,No,Room Temperature
MED0260,Ruxaclam 875Mg/125Mg,Tablet,Oral Solid,Drug,18.77,SUP012,Yes,Refrigerated
MED0261,Dolipran 1000Mg,Tablet,Oral Solid,Drug,17.8,SUP008,No,Room Temperature
MED0262,Figo Pflaster-Strips,Patch,Transdermal,Supply,50.17,SUP010,Yes,Room Temperature
MED0263,Silfect 50Mg,Tablet,Oral Solid,Drug,8.34,SUP005,No,Cool & Dry
MED0264,Collagen Advanced 30Cap,Capsule,Oral Solid,Supply,4.42,SUP003,No,Room Temperature
