InventoryID,MedicineID,MedicineName,CurrentStock,ReorderPoint,MaxStock,StockStatus,LastRestockDate,ExpiryDate,UnitCost
INV0098,MED0098,Onlefit Cap,91,33,278,Normal,2026-07-07,2026-11-01,7.34
INV0099,MED0099,Meratrum 3 A-Z/30Tab.,451,20,447,High,2026-07-07,2027-11-09,13.45
INV0100,MED0100,Fokids Vitality  150Ml,279,28,350,High,2026-07-07,2028-06-25,10.94
INV0101,MED0101,Nutricia Nutrinidrink Vanilla,254,26,612,High,2026-07-07,2028-02-10,1.48
INV0102,MED0102,Novophan Energizing,76,34,946,Normal,2026-07-07,2027-12-29,12.98
INV0103,MED0103,Hair Booster 60Gum,40,42,380,Low,2026-07-07,2027-03-22,8.18
INV0104,MED0104,Vichy Energising Hair Loss Shampoo 200 Ml,339,24,693,High,2026-07-07,2027-11-04,9.67
INV0105,MED0105,Nutrigen Growmega Fish Oil  200Ml Help Childern,399,22,675,High,2026-07-07,2028-05-26,4.33
INV0106,MED0106,Benzoyl Gel 5% Coral,343,48,701,High,2026-07-07,2027-11-21,16.63
INV0107,MED0107,Medulac-Wm,71,50,703,Normal,2026-07-07,2028-02-01,2.15
INV0108,MED0108,Sensilab Flexi Force 100Ml,94,21,998,High,2026-07-07,2027-05-03,11.46
INV0109,MED0109,Uricol Powder,325,48,756,High,2026-07-07,2027-05-27,6.06
INV0110,MED0110,Voltfast 50Mg 30 Satchet,157,28,765,High,2026-07-07,2027-12-26,14.9
INV0111,MED0111,Betasonate Eye Ointment,293,27,233,High,2026-07-07,2027-05-15,19.42
INV0112,MED0112,Nidazole 500Mg,491,23,635,High,2026-07-07,2028-04-23,4.54
INV0113,MED0113,Loperamide  2Mg,14,26,798,Low,2026-07-07,2028-03-26,7.48
INV0114,MED0114,Amoclan Forte 625Mg Hikma,101,25,230,High,2026-07-07,2028-05-16,3.38
INV0115,MED0115,Doxycreat 100Mg,392,33,782,High,2026-07-07,2027-07-25,12.59
INV0116,MED0116,Uriage Hyseac Spf 50 Fluid 50Ml,17,23,472,Low,2026-07-07,2027-02-10,20.47
INV0117,MED0117,Paraxone 300Mg,213,28,707,High,2026-07-07,2028-01-02,4.85
INV0118,MED0118,Drains The Oil,41,33,759,Normal,2026-07-07,2027-03-25,7.38
INV0119,MED0119,C-Lax  25Tab,46,34,675,Normal,2026-07-07,2026-09-02,8.94
INV0120,MED0120,Selovita-D3 300.000 I.U/Ml,398,20,421,High,2026-07-07,2027-04-16,14.22
INV0121,MED0121,Multivitamin Hansal,51,32,398,Normal,2026-07-07,2026-09-16,9.77
INV0122,MED0122,Kiloloss,408,21,550,High,2026-07-07,2028-01-02,7.65
INV0123,MED0123,Isis Teen Derm,491,21,498,High,2026-07-07,2028-05-18,20.65
INV0124,MED0124,Ferplex 40Mg,116,25,623,High,2026-07-07,2028-04-08,7.26
INV0125,MED0125,Bioderma Atoderm Pain,103,28,486,High,2026-07-07,2028-03-09,1.24
INV0126,MED0126,Kidsvital Multivitamin Tonic Sunlife,124,47,315,Normal,2026-07-07,2027-03-19,5.01
INV0127,MED0127,Diane 35,235,25,776,High,2026-07-07,2028-06-03,1.11
INV0128,MED0128,Vitadine 200Ml,237,33,447,High,2026-07-07,2026-09-02,11.91
INV0129,MED0129,Artelac Single Dose Ed,12,37,427,Low,2026-07-07,2026-11-08,11.45
INV0130,MED0130,Gel Mouss Effaclar 200Ml,26,43,607,Low,2026-07-07,2028-05-16,22.91
INV0131,MED0131,Bioderma Sensibio Ar,176,28,262,High,2026-07-07,2027-07-06,8.29
INV0132,MED0132,Collafix 60Cap,189,39,946,High,2026-07-07,2027-06-16,1.68
INV0133,MED0133,Scarmed Silicon Gel,291,30,311,High,2026-07-07,2026-09-14,23.74
INV0134,MED0134,Cefodox 200Mg,122,43,819,Normal,2026-07-07,2027-08-01,11.19
INV0135,MED0135,Marathon 60 Tab,246,42,361,High,2026-07-07,2027-09-14,2.21
INV0136,MED0136,Trimoksazol  (400+80)Mg,262,25,753,High,2026-07-07,2028-05-11,7.31
INV0137,MED0137,Pregabalin Accord 75Mg Hard,91,48,786,Normal,2026-07-07,2028-03-29,1.58
INV0138,MED0138,Beneday 250/250/1/300Mg,208,27,556,High,2026-07-07,2027-10-24,10.29
INV0139,MED0139,Arcoxia 90 Mg,162,44,776,High,2026-07-07,2027-05-03,10.8
INV0140,MED0140,Bioflex Cream,40,24,640,Normal,2026-07-07,2027-05-05,5.21
INV0141,MED0141,Nutra Sleep Well ( Healthy Pectin Gummy),241,32,861,High,2026-07-07,2028-05-02,6.24
INV0142,MED0142,La Roche-Posay Lipikar Lait Milk Skn,97,34,370,Normal,2026-07-07,2027-03-31,6.96
INV0143,MED0143,Sleep Aid Enjoy Your Sweet Dreams,165,31,410,High,2026-07-07,2028-03-14,4.16
INV0144,MED0144,Lrp Anthelis Xl Spf 50Dry Touch Cream,145,39,966,High,2026-07-07,2026-12-31,23.16
INV0145,MED0145,Fast Fat Super 1&2 2*60,201,20,663,High,2026-07-07,2027-08-09,6.28
INV0146,MED0146,Paracetamol 500Mg,268,47,759,High,2026-07-07,2028-01-10,3.38
INV0147,MED0147,Exym 100Ml,427,20,628,High,2026-07-07,2026-07-13,7.2
INV0148,MED0148,Gerovital Plant Stop Acnee Jel,196,44,622,High,2026-07-07,2026-09-08,20.82
INV0149,MED0149,Lefox 500 Mg,21,25,245,Low,2026-07-07,2027-07-31,3.36
INV0150,MED0150,Schauma Kids Shampoo & Waschgel For Girl,350,42,305,High,2026-07-07,2028-01-14,6.93
INV0151,MED0151,Lipster  5G,441,47,375,High,2026-07-07,2027-04-15,25.93
INV0152,MED0152,Avene Physiolift Night Cream 30Ml,94,25,990,High,2026-07-07,2026-08-03,15.24
INV0153,MED0153,Arcoxia 120Mg,200,44,506,High,2026-07-07,2028-05-18,6.72
INV0154,MED0154,Depo-Medrol 80Mg Syring,131,39,233,High,2026-07-07,2027-02-17,27.62
INV0155,MED0155,Amoxicillin 500Mg,287,38,235,High,2026-07-07,2026-10-02,2.43
INV0156,MED0156,Dentissimo Gold 75Ml,98,48,360,Normal,2026-07-07,2028-06-18,5.05
INV0157,MED0157,Moclavin 875/125Mg,108,27,411,High,2026-07-07,2026-09-25,4.49
INV0158,MED0158,Caelin Ketovit Shampoo,500,25,450,High,2026-07-07,2027-01-15,11.28
INV0159,MED0159,Vitarux Multi V Itamin,30,24,583,Normal,2026-07-07,2026-12-30,4.0
INV0160,MED0160,Tamsulin  Aiwa 0.4Mg,422,30,552,High,2026-07-07,2027-04-17,3.87
INV0161,MED0161,Cialis 5Mg,40,23,833,Normal,2026-07-07,2028-05-04,1.97
INV0162,MED0162,Tq-Flox 500,125,30,490,High,2026-07-07,2027-03-24,7.99
INV0163,MED0163,Vitis Gingival,377,41,234,High,2026-07-07,2027-04-02,4.95
INV0164,MED0164,Alfacort Ointment,217,38,716,High,2026-07-07,2027-01-28,25.12
INV0165,MED0165,Mecozalen Oral Gel 50G,423,37,491,High,2026-07-07,2028-02-03,23.26
INV0166,MED0166,Imavir Acyclovir Cream 5Mg,116,39,398,Normal,2026-07-07,2027-01-05,3.81
INV0167,MED0167,Bioderma Photoderm Tinted  Max  Spf 50  40Ml,135,26,366,High,2026-07-07,2026-10-04,7.09
INV0168,MED0168,Ultra Growth Plus 60Cap,136,32,367,High,2026-07-07,2026-11-15,9.03
INV0169,MED0169,Kin Gingival  75Ml,77,20,750,High,2026-07-07,2027-11-15,4.44
INV0170,MED0170,Julmentin  2X  1000Mg,298,43,958,High,2026-07-07,2026-10-15,2.53
INV0171,MED0171,Betasone Cream,340,27,325,High,2026-07-07,2028-01-31,21.49
INV0172,MED0172,Pediatric Extra Mild 200Ml,413,28,970,High,2026-07-07,2026-07-10,10.72
INV0173,MED0173,Julmentin Fort  625Mg,92,48,793,Normal,2026-07-07,2027-03-26,5.73
INV0174,MED0174,Ibuprofen  400Mg,409,30,969,High,2026-07-07,2026-10-27,10.44
INV0175,MED0175,Olfen-75,170,49,826,High,2026-07-07,2027-01-07,43.38
INV0176,MED0176,D.Dep Junior Drop 15Ml,78,50,257,Normal,2026-07-07,2027-11-17,2.88
INV0177,MED0177,Glme+,134,50,708,Normal,2026-07-07,2026-09-19,2.03
INV0178,MED0178,Slim & Well,48,35,670,Normal,2026-07-07,2027-04-30,5.71
INV0179,MED0179,Caelin %5 Sulfur,200,28,363,High,2026-07-07,2027-03-27,7.78
INV0180,MED0180,Kapsol P-N 30,17,32,386,Low,2026-07-07,2026-09-10,6.6
INV0181,MED0181,Kapsol G-A 30,453,28,856,High,2026-07-07,2026-08-21,8.48
INV0182,MED0182,Fine`S Immune Booster Pectin Gummies,114,48,658,Normal,2026-07-07,2027-01-09,8.49
INV0183,MED0183,Zinc Oxide Ointment 25Gm,417,23,800,High,2026-07-07,2027-09-07,22.56
INV0184,MED0184,Suprax  200Mg,212,34,277,High,2026-07-07,2026-09-27,2.22
INV0185,MED0185,Ciprofloxacin 750Mg,61,35,581,Normal,2026-07-07,2027-11-28,5.28
INV0186,MED0186,Adhesive Roll Plaser Zinc-Oxid 3M*2.5Cm,215,24,633,High,2026-07-07,2026-10-26,19.87
INV0187,MED0187,Bioflex Plus Bioactivet,150,35,526,High,2026-07-07,2027-02-27,10.04
INV0188,MED0188,Nuro 360,446,36,844,High,2026-07-07,2027-08-26,4.31
INV0189,MED0189,Choline & Inositol 500/500Mg,138,32,305,High,2026-07-07,2026-12-30,3.53
INV0190,MED0190,Tms Forte 800/160Mg,82,42,226,Normal,2026-07-07,2027-01-17,6.87
INV0191,MED0191,Sansafe Acneic  Oil Free Fpf 50+,227,23,659,High,2026-07-07,2027-12-31,12.79
INV0192,MED0192,Dolomark 1000Mg,127,20,204,High,2026-07-07,2028-05-30,4.3
INV0193,MED0193,Parazar Gesic,91,41,959,Normal,2026-07-07,2026-07-10,4.28
INV0194,MED0194,Suprax D 400Mg,472,28,522,High,2026-07-07,2028-06-22,12.98
INV0195,MED0195,Micropore 3M .. Plaster Qawayii,148,21,395,High,2026-07-07,2027-09-09,18.93
INV0196,MED0196,B-White Scurb 100Ml,64,22,562,Normal,2026-07-07,2028-02-17,23.28
INV0197,MED0197,B-White Night Whiteing Cream 100Ml,450,30,563,High,2026-07-07,2027-12-22,12.89
INV0198,MED0198,B-White Facial Wash,58,28,414,Normal,2026-07-07,2028-03-07,3.27
INV0199,MED0199,Differin  Adapalene 0.1%  30G,81,23,795,High,2026-07-07,2027-10-09,26.33
INV0200,MED0200,Isotretinion-10,163,27,882,High,2026-07-07,2026-10-30,11.76
INV0201,MED0201,Prednabene 5Mg,274,47,652,High,2026-07-07,2028-03-05,12.29
INV0202,MED0202,Slimtol Green Coffee,312,34,853,High,2026-07-07,2027-10-08,10.69
INV0203,MED0203,Gastrogen 4500Mg,248,39,329,High,2026-07-07,2027-08-28,13.48
INV0204,MED0204,A-Ferin Plus 100Ml,389,28,334,High,2026-07-07,2027-12-27,2.68
INV0205,MED0205,Apetito Biofaktor 150Ml,57,36,758,Normal,2026-07-07,2028-01-15,5.77
INV0206,MED0206,Polaramine Repetabs,429,28,843,High,2026-07-07,2026-09-30,3.74
INV0207,MED0207,Supixime,174,42,752,High,2026-07-07,2026-12-11,5.76
INV0208,MED0208,Trenaxa 500 Bp,312,25,953,High,2026-07-07,2027-11-15,1.83
INV0209,MED0209,Urilax 5Mg,13,29,990,Low,2026-07-07,2026-11-26,5.47
INV0210,MED0210,Adva-Tonin,262,21,641,High,2026-07-07,2028-06-05,12.5
INV0211,MED0211,Sure Slim,205,46,788,High,2026-07-07,2027-05-09,3.74
INV0212,MED0212,Daily Complete Multivitamin Adva-Max,116,48,440,Normal,2026-07-07,2026-11-13,10.87
INV0213,MED0213,Sliming Advanced,311,38,771,High,2026-07-07,2026-10-23,6.18
INV0214,MED0214,Avene Emulsion Spf 50,58,31,832,Normal,2026-07-07,2026-08-24,13.25
INV0215,MED0215,Mass Vita Vaseline,94,30,678,High,2026-07-07,2027-07-21,25.81
INV0216,MED0216,Ibuprofen Caps,350,29,643,High,2026-07-07,2026-09-22,11.89
INV0217,MED0217,Hydroderm Acne Wash,462,36,541,High,2026-07-07,2027-02-13,15.51
INV0218,MED0218,Suprax  100Mg 60 Ml,412,45,567,High,2026-07-07,2026-07-24,9.11
INV0219,MED0219,Pedifen,281,26,956,High,2026-07-07,2027-08-19,2.88
INV0220,MED0220,Ultra Iron Plus,406,30,916,High,2026-07-07,2027-09-17,4.36
INV0221,MED0221,Nausea Relief Capsule,416,35,338,High,2026-07-07,2027-08-04,12.02
INV0222,MED0222,Largopen     500Mg,98,20,957,High,2026-07-07,2027-08-07,7.77
INV0223,MED0223,Protecta,213,35,328,High,2026-07-07,2027-06-15,7.63
INV0224,MED0224,Mome-M 30G,408,25,571,High,2026-07-07,2027-04-20,18.47
INV0225,MED0225,Potenza 160/12.5/5 Mg,120,47,998,Normal,2026-07-07,2027-06-04,1.69
INV0226,MED0226,Fastum Gel  (Refused B ),173,43,582,High,2026-07-07,2027-10-19,13.87
INV0227,MED0227,"Viga 150,000 - 45Ml",309,32,372,High,2026-07-07,2027-10-07,15.52
INV0228,MED0228,Carbinib  Tab,98,25,558,High,2026-07-07,2026-08-27,9.53
INV0229,MED0229,Amikacin Sulfate 1000Mg,64,37,387,Normal,2026-07-07,2028-05-05,12.82
INV0230,MED0230,Paracetamol 500Mg 10*10,417,41,850,High,2026-07-07,2028-02-05,11.93
INV0231,MED0231,Head Lice Shampoo Deniz,397,48,507,High,2026-07-07,2027-07-05,2.65
INV0232,MED0232,Laxodcodyl 5,292,33,393,High,2026-07-07,2028-03-17,3.21
INV0233,MED0233,Sefarin 300Mg,138,48,384,Normal,2026-07-07,2027-11-18,8.25
INV0234,MED0234,Lactulose Aiwa,56,47,373,Normal,2026-07-07,2027-12-03,8.77
INV0235,MED0235,Laxodep,135,49,480,Normal,2026-07-07,2027-06-24,3.3
INV0236,MED0236,Betasalek 50Ml,301,38,379,High,2026-07-07,2027-01-19,4.84
INV0237,MED0237,Ebetrex 50Mg/5Ml,413,20,820,High,2026-07-07,2027-07-03,48.41
INV0238,MED0238,Xylo Acino 0.1%,223,32,374,High,2026-07-07,2028-02-05,10.98
INV0239,MED0239,Foltene Scalp Treatment Women,237,21,337,High,2026-07-07,2028-04-18,31.99
INV0240,MED0240,Cystiphane Biorga Lotion-Anti-Chute,10,28,550,Low,2026-07-07,2026-07-21,17.9
INV0241,MED0241,Q2 Dha 12G Tab,36,50,794,Low,2026-07-07,2027-02-12,5.66
INV0242,MED0242,Zomax 500Mg,109,25,268,High,2026-07-07,2027-08-22,7.76
INV0243,MED0243,Betaspan 4Mg/Ml,155,40,240,High,2026-07-07,2026-12-24,25.77
INV0244,MED0244,Peapod (Prenatal) 60Tab,128,39,276,High,2026-07-07,2027-03-08,10.49
INV0245,MED0245,Letromara 2.5Mg,399,22,788,High,2026-07-07,2027-12-27,3.1
INV0246,MED0246,Endogen Hp 75Iu,199,44,405,High,2026-07-07,2027-02-07,38.58
INV0247,MED0247,Injesta 2.5% 1Ml,100,24,364,High,2026-07-07,2027-06-01,3.5
INV0248,MED0248,Ketoral,247,22,288,High,2026-07-07,2028-06-24,9.31
INV0249,MED0249,Amoclan Bid 1G,123,32,205,High,2026-07-07,2027-12-08,9.31
INV0250,MED0250,Betalek Ointent 30G,224,50,221,High,2026-07-07,2028-02-27,9.99
INV0251,MED0251,Bioderma Photoderm  Max  Spf 50  40Ml Toucher  Sec Dry Touch,83,34,697,Normal,2026-07-07,2026-07-11,9.73
INV0252,MED0252,Voltaren 100Mg,174,32,487,High,2026-07-07,2028-04-20,9.91
INV0253,MED0253,Uronephron   60Tab,482,41,966,High,2026-07-07,2026-08-26,1.76
INV0254,MED0254,Co-Codamol 8/500Mg,440,21,685,High,2026-07-07,2028-06-06,7.14
INV0255,MED0255,Brosin  0.4Mg,455,24,600,High,2026-07-07,2028-05-30,11.94
INV0256,MED0256,Coral S Isotretionin 20,372,36,930,High,2026-07-07,2027-06-28,14.14
INV0257,MED0257,Vermazol 100Mg,15,20,786,Low,2026-07-07,2026-08-02,1.73
INV0258,MED0258,Angizar-50Mg,247,25,404,High,2026-07-07,2028-03-26,3.24
INV0259,MED0259,Bglau 5Ml,56,34,635,Normal,2026-07-07,2026-09-19,4.13
INV0260,MED0260,Ruxaclam 875Mg/125Mg,448,27,889,High,2026-07-07,2027-01-30,10.68
INV0261,MED0261,Dolipran 1000Mg,454,48,402,High,2026-07-07,2027-04-20,12.17
INV0262,MED0262,Figo Pflaster-Strips,68,20,858,High,2026-07-07,2027-10-12,35.58
INV0263,MED0263,Silfect 50Mg,326,28,489,High,2026-07-07,2027-10-06,5.6
INV0264,MED0264,Collagen Advanced 30Cap,232,29,340,High,2026-07-07,2027-05-16,3.14
INV0265,MED0265,Adolor Strong 1000Mg,376,23,598,High,2026-07-07,2028-03-17,10.31
INV0266,MED0266,Sano-D3 50.000 Oral,470,46,494,High,2026-07-07,2026-10-28,7.56
INV0267,MED0267,Megajoint Support (Food Supplement),393,26,670,High,2026-07-07,2028-03-23,7.44
INV0268,MED0268,No-Vomit 100Ml,250,41,597,High,2026-07-07,2028-04-08,11.37
INV0269,MED0269,Flagyl 125Mg/5Ml   120Ml,254,50,630,High,2026-07-07,2026-09-23,8.75
INV0270,MED0270,Sensi Kin,395,21,632,High,2026-07-07,2027-05-10,1.55
INV0271,MED0271,Chlorohistol 100Ml Julphar,116,45,457,Normal,2026-07-07,2027-02-01,9.84
INV0272,MED0272,"Dibase 50,000 I.U/2.5 Ml",102,39,246,Normal,2026-07-07,2027-06-22,4.68
INV0273,MED0273,Cal-Vit 30Tab,460,33,271,High,2026-07-07,2027-01-15,8.68
INV0274,MED0274,Pandev 40Mg Tab,449,30,302,High,2026-07-07,2028-02-08,12.02
INV0275,MED0275,Trimoks  240Mg,235,20,288,High,2026-07-07,2028-04-09,2.87
INV0276,MED0276,Irazole  100Mg  1Tab,263,39,830,High,2026-07-07,2026-09-08,2.35
