InvoiceID,MedicineID,MedicineName,DosageForm,Category,Type,QuantitySold,SaleDate,SaleTime,UnitPrice,Revenue,CostPrice,Profit,DiscountPct,PaymentMethod,CustomerType,EmployeeID,SupplierID
1195772,MED0015,Caelin Vitamin E Plus,Soap,Personal Care,Supply,1,24-12-2024,18:20,20.2,20.2,13.53,6.67,0,Insurance,New,EMP014,SUP006
1195772,MED0016,Asmafort Tablet,Tablet,Oral Solid,Drug,1,24-12-2024,18:20,11.58,11.58,7.76,3.82,5,Mobile Payment,Regular,EMP003,SUP014
1195772,MED0016,Asmafort Tablet,Tablet,Oral Solid,Drug,1,24-12-2024,18:19,11.58,11.58,7.76,3.82,0,Cash,New,EMP018,SUP014
1195772,MED0017,D-Lortin 5Mg,Tablet,Oral Solid,Drug,3,24-12-2024,18:19,5.58,16.74,11.21,5.53,0,Mobile Payment,Regular,EMP003,SUP015
1195803,MED0006,Istovin 20Mg,Capsule,Oral Solid,Drug,2,28-04-2024,19:53,14.02,28.04,18.78,9.26,5,Mobile Payment,Regular,EMP005,SUP013
1195803,MED0018,Caelin %2 Sulfur,Soap,Personal Care,Supply,1,28-04-2024,19:53,18.5,18.5,12.39,6.11,0,Mobile Payment,Regular,EMP002,SUP010
1195803,MED0019,Acm Depiwhite Advanced,Cream,Topical,Supply,1,28-04-2024,19:53,32.95,32.95,22.07,10.88,5,Cash,Walk-in,EMP012,SUP002
1195843,MED0020,Queen Aromatherapy Grad,Soap,Personal Care,Supply,1,18-06-2024,14:55,2.18,2.18,1.46,0.72,10,Cash,Regular,EMP009,SUP003
1196003,MED0021,Sebium Photoderm Akn Mat Spf 30 40Ml,Cream,Topical,Supply,1,07-09-2024,14:36,32.82,32.82,21.98,10.84,0,Cash,Regular,EMP013,SUP010
1196003,MED0020,Queen Aromatherapy Grad,Soap,Personal Care,Supply,1,07-09-2024,14:30,2.18,2.18,1.46,0.72,0,Card,New,EMP009,SUP003
1196032,MED0017,D-Lortin 5Mg,Tablet,Oral Solid,Drug,3,25-03-2024,14:23,5.58,16.74,11.21,5.53,5,Insurance,Walk-in,EMP015,SUP015
1196151,MED0022,Refit Cap,Capsule,Oral Solid,Drug,4,06-04-2024,13:31,14.42,57.68,38.63,19.05,0,Card,New,EMP011,SUP011
1196191,MED0023,Seawater Nasal Spray,Nasal Spray,Nasal,Drug,1,03-04-2024,16:38,11.81,11.81,7.91,3.9,0,Mobile Payment,New,EMP010,SUP014
1196224,MED0024,Panda 1000Mg,Tablet,Oral Solid,Drug,4,15-01-2024,19:42,4.38,17.52,11.73,5.79,0,Cash,Regular,EMP018,SUP008
1196233,MED0025,Prednisolon  5Mg,Tablet,Oral Solid,Drug,1,21-12-2024,13:12,19.21,19.21,12.87,6.34,0,Cash,Walk-in,EMP020,SUP011
1196233,MED0026,Allermine 25Mg,Tablet,Oral Solid,Drug,2,21-12-2024,13:12,7.73,15.46,10.35,5.11,0,Insurance,New,EMP011,SUP014
1196233,MED0025,Prednisolon  5Mg,Tablet,Oral Solid,Drug,2,21-12-2024,13:12,19.21,38.42,25.73,12.69,0,Insurance,Regular,EMP010,SUP011
1196233,MED0025,Prednisolon  5Mg,Tablet,Oral Solid,Drug,2,21-12-2024,13:12,19.21,38.42,25.73,12.69,15,Card,Insurance,EMP016,SUP011
1196233,MED0015,Caelin Vitamin E Plus,Soap,Personal Care,Supply,1,21-12-2024,13:11,20.2,20.2,13.53,6.67,15,Card,Walk-in,EMP017,SUP006
1196334,MED0027,Benzac Ac 5%,Cream,Topical,Drug,1,27-09-2024,16:25,6.43,6.43,4.31,2.12,0,Cash,New,EMP016,SUP006
1196334,MED0018,Caelin %2 Sulfur,Soap,Personal Care,Supply,1,27-09-2024,16:25,18.5,18.5,12.39,6.11,0,Card,New,EMP013,SUP010
1196334,MED0028,Isotoin 20Mg Usp,Capsule,Oral Solid,Drug,2,27-09-2024,16:25,3.29,6.58,4.41,2.17,0,Card,Regular,EMP019,SUP013
1196334,MED0029,Trimoks 480Mg,Tablet,Oral Solid,Drug,3,27-09-2024,16:25,17.18,51.54,34.52,17.02,0,Mobile Payment,Regular,EMP018,SUP011
1196375,MED0030,Babe New Nuevo Spf 50,Cream,Topical,Supply,1,08-12-2024,14:25,25.34,25.34,16.97,8.37,0,Cash,New,EMP020,SUP002
1196375,MED0031,Opizole B,Cream,Topical,Drug,1,08-12-2024,14:25,32.86,32.86,22.01,10.85,5,Card,Regular,EMP020,SUP010
1196375,MED0003,Irazole  100Mg  15Tab,Capsule,Oral Solid,Drug,3,08-12-2024,14:25,6.59,19.77,13.24,6.53,15,Cash,New,EMP019,SUP010
1196375,MED0018,Caelin %2 Sulfur,Soap,Personal Care,Supply,1,08-12-2024,14:25,18.5,18.5,12.39,6.11,0,Card,Regular,EMP005,SUP010
1196375,MED0028,Isotoin 20Mg Usp,Capsule,Oral Solid,Drug,2,08-12-2024,14:25,3.29,6.58,4.41,2.17,15,Mobile Payment,New,EMP016,SUP013
1196404,MED0032,Colgate Maxwhite 75Ml,Toothpaste,Personal Care,Supply,1,19-03-2024,16:39,22.43,22.43,15.02,7.41,5,Insurance,Regular,EMP011,SUP002
1196447,MED0033,Canesten 20G Skin Cream,Cream,Topical,Drug,1,20-05-2024,15:02,22.84,22.84,15.3,7.54,5,Mobile Payment,Walk-in,EMP003,SUP001
1196447,MED0025,Prednisolon  5Mg,Tablet,Oral Solid,Drug,1,20-05-2024,15:02,19.21,19.21,12.87,6.34,10,Cash,Walk-in,EMP016,SUP011
1196447,MED0034,Pediatric  Emollient 200Ml,Cream,Topical,Supply,1,20-05-2024,15:01,39.01,39.01,26.13,12.88,0,Insurance,Regular,EMP011,SUP012
1196447,MED0035,Caelin  Baby Care,Soap,Personal Care,Supply,1,20-05-2024,15:01,12.6,12.6,8.44,4.16,0,Cash,Insurance,EMP018,SUP003
1196447,MED0002,Fucidine 15G Oint,Ointment,Topical,Drug,1,20-05-2024,15:01,3.93,3.93,2.63,1.3,0,Cash,New,EMP017,SUP003
1196452,MED0036,Colevit D3 5000Iu,Capsule,Oral Solid,Drug,1,07-02-2024,15:28,11.71,11.71,7.84,3.87,0,Cash,Walk-in,EMP020,SUP004
1196480,MED0037,Clavomed 500/125Mg,Tablet,Oral Solid,Supply,3,06-02-2024,19:51,16.84,50.52,33.84,16.68,0,Card,Walk-in,EMP003,SUP015
1196541,MED0038,Betasalek 30G,Ointment,Topical,Drug,1,30-07-2024,14:04,25.89,25.89,17.34,8.55,0,Cash,Regular,EMP009,SUP012
1196542,MED0021,Sebium Photoderm Akn Mat Spf 30 40Ml,Cream,Topical,Supply,1,15-07-2024,14:10,32.82,32.82,21.98,10.84,10,Cash,Insurance,EMP009,SUP010
1196671,MED0039,Lasix  40Mg,Tablet,Oral Solid,Drug,2,30-05-2024,17:59,17.44,34.88,23.36,11.52,15,Cash,Regular,EMP009,SUP015
1196682,MED0035,Caelin  Baby Care,Soap,Personal Care,Supply,1,05-11-2024,13:10,12.6,12.6,8.44,4.16,10,Cash,New,EMP010,SUP003
1196747,MED0040,Cipro 500Mg,Tablet,Oral Solid,Drug,2,17-01-2024,16:57,12.18,24.36,16.32,8.04,10,Cash,New,EMP020,SUP002
1196769,MED0041,Odnatron Injection 8Mg/4M,Solution,Oral Liquid,Supply,1,26-02-2024,18:07,13.27,13.27,8.89,4.38,5,Mobile Payment,Regular,EMP017,SUP003
1196782,MED0042,Prospan,Syrup,Oral Liquid,Drug,1,07-04-2024,20:48,2.73,2.73,1.83,0.9,0,Cash,Walk-in,EMP008,SUP002
1196813,MED0006,Istovin 20Mg,Capsule,Oral Solid,Drug,2,21-03-2024,15:50,14.02,28.04,18.78,9.26,0,Card,Insurance,EMP011,SUP013
1196813,MED0030,Babe New Nuevo Spf 50,Cream,Topical,Supply,1,21-03-2024,15:50,25.34,25.34,16.97,8.37,0,Cash,Regular,EMP011,SUP002
1196813,MED0020,Queen Aromatherapy Grad,Soap,Personal Care,Supply,1,21-03-2024,15:50,2.18,2.18,1.46,0.72,0,Card,Insurance,EMP008,SUP003
1196835,MED0043,No-Vomit 8Mg,Tablet,Oral Solid,Drug,1,31-03-2024,17:20,5.72,5.72,3.83,1.89,0,Cash,Regular,EMP019,SUP012
1196855,MED0044,Kidssi Growth 150Ml,Syrup,Oral Liquid,Drug,3,24-05-2024,19:06,6.63,19.89,13.32,6.57,0,Card,Insurance,EMP007,SUP002
1196877,MED0033,Canesten 20G Skin Cream,Cream,Topical,Drug,1,26-04-2024,14:04,22.84,22.84,15.3,7.54,0,Insurance,New,EMP012,SUP001
1196877,MED0026,Allermine 25Mg,Tablet,Oral Solid,Drug,1,26-04-2024,14:04,7.73,7.73,5.18,2.55,5,Insurance,Regular,EMP010,SUP014
1196877,MED0003,Irazole  100Mg  15Tab,Capsule,Oral Solid,Drug,3,26-04-2024,14:04,6.59,19.77,13.24,6.53,15,Cash,Insurance,EMP007,SUP010
1196877,MED0045,Rugard Urea %10 Repair Bodylotion,Lotion,Topical,Supply,1,26-04-2024,14:04,5.95,5.95,3.99,1.96,10,Card,Regular,EMP011,SUP001
1196892,MED0046,Chloramphenicol 1% W/W Eye Oint,Ointment,Topical,Supply,1,19-06-2024,14:40,11.61,11.61,7.78,3.83,5,Cash,Insurance,EMP017,SUP007
1196892,MED0046,Chloramphenicol 1% W/W Eye Oint,Ointment,Topical,Supply,1,19-06-2024,14:40,11.61,11.61,7.78,3.83,0,Mobile Payment,Regular,EMP014,SUP007
1196892,MED0047,Johson Baby,Oil,Personal Care,Supply,1,19-06-2024,14:40,4.83,4.83,3.23,1.6,0,Cash,Insurance,EMP009,SUP013
1196892,MED0048,Bebe Shampoo Zartpflege 200Ml,Shampoo,Personal Care,Supply,1,19-06-2024,14:40,9.78,9.78,6.55,3.23,5,Cash,Regular,EMP009,SUP011
1196892,MED0049,Sodium Chloride-Darnista 400Ml\,Solution,Oral Liquid,Supply,1,19-06-2024,14:40,12.17,12.17,8.15,4.02,10,Mobile Payment,Regular,EMP020,SUP004
1196892,MED0049,Sodium Chloride-Darnista 400Ml\,Solution,Oral Liquid,Supply,1,19-06-2024,14:40,12.17,12.17,8.15,4.02,10,Mobile Payment,Regular,EMP014,SUP004
1196892,MED0050,Levoximed  500Mg,Tablet,Oral Solid,Drug,1,19-06-2024,14:39,8.25,8.25,5.53,2.72,0,Card,Walk-in,EMP007,SUP004
1196914,MED0046,Chloramphenicol 1% W/W Eye Oint,Ointment,Topical,Supply,1,17-12-2024,15:39,11.61,11.61,7.78,3.83,15,Mobile Payment,Insurance,EMP020,SUP007
1196914,MED0046,Chloramphenicol 1% W/W Eye Oint,Ointment,Topical,Supply,1,17-12-2024,15:39,11.61,11.61,7.78,3.83,10,Insurance,Regular,EMP005,SUP007
1196914,MED0050,Levoximed  500Mg,Tablet,Oral Solid,Drug,1,17-12-2024,15:39,8.25,8.25,5.53,2.72,10,Mobile Payment,New,EMP010,SUP004
1196914,MED0047,Johson Baby,Oil,Personal Care,Supply,1,17-12-2024,15:39,4.83,4.83,3.23,1.6,0,Cash,Regular,EMP007,SUP013
1196914,MED0048,Bebe Shampoo Zartpflege 200Ml,Shampoo,Personal Care,Supply,1,17-12-2024,15:39,9.78,9.78,6.55,3.23,15,Cash,New,EMP012,SUP011
1196953,MED0051,Fenaclo 30Tab Aceclofenac 100Mg,Tablet,Oral Solid,Supply,1,31-10-2024,18:36,8.35,8.35,5.59,2.76,0,Insurance,Regular,EMP018,SUP001
1196953,MED0052,Arthri Flex,Gel,Topical,Drug,1,31-10-2024,18:36,10.75,10.75,7.2,3.55,0,Mobile Payment,Regular,EMP018,SUP012
1196953,MED0053,Bioflex Plus Join Repair Formula,Tablet,Oral Solid,Drug,3,31-10-2024,18:36,6.44,19.32,12.94,6.38,5,Mobile Payment,Insurance,EMP011,SUP002
1196953,MED0054,Ketalgin Long 30Mg,Injection,Injectable,Drug,2,31-10-2024,18:36,75.57,151.14,101.23,49.91,0,Cash,Walk-in,EMP007,SUP007
1196955,MED0055,Doreta,Tablet,Oral Solid,Drug,2,19-10-2024,18:50,13.49,26.98,18.07,8.91,10,Card,Regular,EMP015,SUP006
1196955,MED0053,Bioflex Plus Join Repair Formula,Tablet,Oral Solid,Drug,3,19-10-2024,18:50,6.44,19.32,12.94,6.38,0,Cash,Regular,EMP019,SUP002
1196955,MED0056,Ice Power Cold Gel,Gel,Topical,Drug,1,19-10-2024,18:49,25.54,25.54,17.11,8.43,0,Cash,Regular,EMP017,SUP011
1197069,MED0057,Lipo6 Black,Capsule,Oral Solid,Supply,1,19-08-2024,15:15,4.67,4.67,3.13,1.54,10,Card,Regular,EMP006,SUP009
1197072,MED0058,Bioderma Atoderm Intensive Baume  200Ml,Lotion,Topical,Supply,1,14-11-2024,15:42,29.98,29.98,20.08,9.9,5,Cash,Insurance,EMP004,SUP004
1197072,MED0059,Chlomal 100Ml,Syrup,Oral Liquid,Drug,1,14-11-2024,15:42,4.61,4.61,3.09,1.52,0,Mobile Payment,Regular,EMP010,SUP008
1197072,MED0035,Caelin  Baby Care,Soap,Personal Care,Supply,3,14-11-2024,15:41,12.6,37.8,25.32,12.48,15,Card,Insurance,EMP008,SUP003
1197072,MED0025,Prednisolon  5Mg,Tablet,Oral Solid,Drug,3,14-11-2024,15:41,19.21,57.63,38.6,19.03,15,Cash,Insurance,EMP007,SUP011
1197072,MED0002,Fucidine 15G Oint,Ointment,Topical,Drug,1,14-11-2024,15:41,3.93,3.93,2.63,1.3,0,Insurance,Regular,EMP020,SUP003
1197110,MED0046,Chloramphenicol 1% W/W Eye Oint,Ointment,Topical,Supply,1,02-12-2024,17:36,11.61,11.61,7.78,3.83,10,Cash,Walk-in,EMP011,SUP007
1197110,MED0008,Heal Fast Gel 50Ml,Cream,Topical,Supply,1,02-12-2024,17:36,6.22,6.22,4.17,2.05,0,Cash,Regular,EMP006,SUP014
1197110,MED0010,Cosinus 60Ml Nose And Sinuses,Spray,Respiratory,Drug,2,02-12-2024,17:36,8.95,17.9,11.99,5.91,0,Insurance,Regular,EMP016,SUP001
1197114,MED0006,Istovin 20Mg,Capsule,Oral Solid,Drug,2,11-11-2024,17:47,14.02,28.04,18.78,9.26,10,Card,Walk-in,EMP012,SUP013
1197114,MED0018,Caelin %2 Sulfur,Soap,Personal Care,Supply,1,11-11-2024,17:46,18.5,18.5,12.39,6.11,10,Card,Regular,EMP008,SUP010
1197114,MED0027,Benzac Ac 5%,Cream,Topical,Drug,1,11-11-2024,17:46,6.43,6.43,4.31,2.12,10,Cash,Insurance,EMP013,SUP006
1197114,MED0060,Cotrim Fort,Tablet,Oral Solid,Drug,1,11-11-2024,17:46,8.52,8.52,5.71,2.81,10,Cash,Insurance,EMP016,SUP014
1197114,MED0060,Cotrim Fort,Tablet,Oral Solid,Drug,2,11-11-2024,17:46,8.52,17.04,11.41,5.63,10,Card,Regular,EMP009,SUP014
1197121,MED0061,Ibulife 400Mg,Tablet,Oral Solid,Drug,1,14-07-2024,18:02,19.81,19.81,13.27,6.54,0,Insurance,Regular,EMP019,SUP004
1197136,MED0062,X-Cough 100Ml,Syrup,Oral Liquid,Drug,1,13-09-2024,19:22,12.24,12.24,8.2,4.04,5,Cash,Regular,EMP015,SUP012
1197150,MED0063,Bioderma Sebium,Gel,Topical,Supply,1,30-01-2024,13:09,23.61,23.61,15.81,7.8,5,Insurance,Regular,EMP018,SUP008
1197267,MED0064,Dexamethasone 10 Ampoules,Solution,Oral Liquid,Supply,2,23-05-2024,15:27,12.95,25.9,17.35,8.55,0,Mobile Payment,Regular,EMP011,SUP010
1197267,MED0065,Alfacort Cream,Cream,Topical,Drug,1,23-05-2024,15:26,34.19,34.19,22.9,11.29,15,Cash,Regular,EMP005,SUP012
1197267,MED0066,Lora Aiwa 10Mg,Tablet,Oral Solid,Drug,1,23-05-2024,15:26,15.86,15.86,10.62,5.24,5,Card,Regular,EMP009,SUP003
1197267,MED0067,Folene Treatment Eyelash And Eyebrow,Lotion,Topical,Supply,1,23-05-2024,15:26,11.47,11.47,7.68,3.79,0,Insurance,New,EMP020,SUP008
1197361,MED0068,Gainuup Powerful Fruits 300G,Powder,Dermatology,Supply,2,24-12-2024,15:27,5.64,11.28,7.55,3.73,0,Mobile Payment,Regular,EMP003,SUP005
1197361,MED0069,Fat Fast  Capsol 60,Capsule,Oral Solid,Supply,1,24-12-2024,15:27,7.34,7.34,4.92,2.42,15,Mobile Payment,Walk-in,EMP009,SUP012
1197390,MED0053,Bioflex Plus Join Repair Formula,Tablet,Oral Solid,Drug,3,26-12-2024,16:57,6.44,19.32,12.94,6.38,0,Cash,Regular,EMP004,SUP002
1197397,MED0069,Fat Fast  Capsol 60,Capsule,Oral Solid,Supply,1,11-12-2024,17:24,7.34,7.34,4.92,2.42,0,Cash,Regular,EMP013,SUP012
1197397,MED0070,P.O,Powder,Dermatology,Supply,2,11-12-2024,17:24,10.35,20.7,13.86,6.84,0,Cash,Regular,EMP018,SUP011
1197454,MED0071,Lizest Syrup 150Ml,Syrup,Oral Liquid,Supply,1,02-01-2024,15:37,5.38,5.38,3.6,1.78,0,Mobile Payment,Walk-in,EMP013,SUP010
1197454,MED0072,Nutrigen Vegy 12Vitamins +3Minerals  200Ml,Syrup,Oral Liquid,Drug,1,02-01-2024,15:36,17.09,17.09,11.45,5.64,0,Insurance,New,EMP001,SUP014
1197454,MED0073,Nectar 100% Natural,Powder,Dermatology,Supply,1,02-01-2024,15:36,22.53,22.53,15.09,7.44,15,Mobile Payment,Regular,EMP003,SUP014
1197592,MED0074,Capsoli Batal,Capsule,Oral Solid,Drug,1,16-09-2024,18:48,7.32,7.32,4.9,2.42,15,Cash,Regular,EMP007,SUP001
1197592,MED0054,Ketalgin Long 30Mg,Injection,Injectable,Drug,1,16-09-2024,18:48,75.57,75.57,50.61,24.96,15,Cash,Regular,EMP009,SUP007
1197592,MED0055,Doreta,Tablet,Oral Solid,Drug,2,16-09-2024,18:48,13.49,26.98,18.07,8.91,0,Cash,Insurance,EMP016,SUP006
1197622,MED0075,White Plus [+] Night 30Ml,Cream,Topical,Supply,1,16-03-2024,16:03,27.25,27.25,18.25,9,10,Mobile Payment,Walk-in,EMP015,SUP008
1197622,MED0076,Gold Collagen Anti-Ageing,Serum,Topical,Supply,1,16-03-2024,16:03,17.64,17.64,11.81,5.83,15,Card,Insurance,EMP018,SUP003
1197701,MED0028,Isotoin 20Mg Usp,Capsule,Oral Solid,Drug,2,12-05-2024,14:42,3.29,6.58,4.41,2.17,0,Card,Regular,EMP019,SUP013
1197701,MED0020,Queen Aromatherapy Grad,Soap,Personal Care,Supply,1,12-05-2024,14:41,2.18,2.18,1.46,0.72,0,Insurance,New,EMP009,SUP003
1197701,MED0077,Avene Antirougeurs Fort  30Ml,Cream,Topical,Supply,1,12-05-2024,14:41,36.84,36.84,24.67,12.17,0,Insurance,New,EMP017,SUP009
1197701,MED0014,Cystiphane Biorga Hair Loss,Shampoo,Personal Care,Supply,1,12-05-2024,14:41,7.57,7.57,5.07,2.5,0,Cash,Insurance,EMP019,SUP013
1197701,MED0078,Cystiphane Biorga,Tablet,Oral Solid,Drug,6,12-05-2024,14:41,9.99,59.94,40.15,19.79,10,Cash,Regular,EMP014,SUP001
1197745,MED0079,Eromycin  125Mg,Syrup,Oral Liquid,Drug,1,28-11-2024,13:58,6.24,6.24,4.18,2.06,0,Card,Regular,EMP007,SUP002
1197745,MED0080,Mebo,Ointment,Topical,Drug,1,28-11-2024,13:58,12.13,12.13,8.12,4.01,15,Card,Regular,EMP009,SUP003
1197798,MED0081,Avene Cleanance Gel  300Ml,Gel,Topical,Supply,1,06-06-2024,17:30,23.77,23.77,15.92,7.85,0,Card,Walk-in,EMP002,SUP004
1198089,MED0082,Femifol Aiwa 5Mg,Tablet,Oral Solid,Drug,3,27-08-2024,19:13,6.36,19.08,12.78,6.3,15,Card,New,EMP014,SUP005
1198089,MED0083,Isomac 20,Capsule,Oral Solid,Drug,2,27-08-2024,19:10,12.31,24.62,16.49,8.13,5,Cash,Walk-in,EMP016,SUP003
1198089,MED0084,Elica-M,Ointment,Topical,Drug,1,27-08-2024,19:10,36.22,36.22,24.26,11.96,15,Mobile Payment,Regular,EMP020,SUP015
1198125,MED0085,Multvitamin Orange Flavour,Tablet,Oral Solid,Supply,1,24-11-2024,13:44,8.89,8.89,5.95,2.94,5,Card,Regular,EMP004,SUP009
1198132,MED0086,Panderm Skin Ointment,Ointment,Topical,Drug,1,05-03-2024,14:48,11.11,11.11,7.44,3.67,15,Cash,Regular,EMP016,SUP010
1198149,MED0087,Sulphur %10 (Sulphatan),Soap,Personal Care,Supply,1,18-09-2024,16:12,29.93,29.93,20.05,9.88,0,Card,Regular,EMP014,SUP004
1198162,MED0088,Mydocalm 150Mg  Labatec Pharma,Tablet,Oral Solid,Drug,3,10-09-2024,17:38,10.93,32.79,21.96,10.83,0,Insurance,Walk-in,EMP013,SUP012
1198162,MED0089,Diclo-Denk 100Mg,Suppository,Suppository,Drug,2,10-09-2024,17:38,5.45,10.9,7.3,3.6,0,Cash,New,EMP011,SUP002
1198205,MED0086,Panderm Skin Ointment,Ointment,Topical,Drug,1,14-10-2024,20:40,11.11,11.11,7.44,3.67,15,Mobile Payment,Regular,EMP004,SUP010
1198209,MED0028,Isotoin 20Mg Usp,Capsule,Oral Solid,Drug,2,08-11-2024,20:55,3.29,6.58,4.41,2.17,5,Card,Walk-in,EMP005,SUP013
1198238,MED0026,Allermine 25Mg,Tablet,Oral Solid,Drug,2,16-08-2024,15:26,7.73,15.46,10.35,5.11,0,Cash,Insurance,EMP006,SUP014
1198238,MED0018,Caelin %2 Sulfur,Soap,Personal Care,Supply,1,16-08-2024,15:25,18.5,18.5,12.39,6.11,0,Cash,Regular,EMP004,SUP010
1198238,MED0017,D-Lortin 5Mg,Tablet,Oral Solid,Drug,3,16-08-2024,15:25,5.58,16.74,11.21,5.53,0,Card,Regular,EMP012,SUP015
1198238,MED0084,Elica-M,Ointment,Topical,Drug,1,16-08-2024,15:25,36.22,36.22,24.26,11.96,0,Insurance,Regular,EMP002,SUP015
1198238,MED0090,Ciprofloxacin 500Mg /Accord,Tablet,Oral Solid,Drug,1,16-08-2024,15:25,2.37,2.37,1.59,0.78,0,Cash,Regular,EMP002,SUP012
1198238,MED0031,Opizole B,Cream,Topical,Drug,1,16-08-2024,15:25,32.86,32.86,22.01,10.85,0,Cash,Regular,EMP003,SUP010
1198238,MED0035,Caelin  Baby Care,Soap,Personal Care,Supply,1,16-08-2024,15:25,12.6,12.6,8.44,4.16,0,Insurance,Insurance,EMP009,SUP003
1198262,MED0046,Chloramphenicol 1% W/W Eye Oint,Ointment,Topical,Supply,1,21-04-2024,16:47,11.61,11.61,7.78,3.83,0,Mobile Payment,Insurance,EMP004,SUP007
1198295,MED0046,Chloramphenicol 1% W/W Eye Oint,Ointment,Topical,Supply,1,16-02-2024,18:33,11.61,11.61,7.78,3.83,10,Mobile Payment,Regular,EMP018,SUP007
1198295,MED0090,Ciprofloxacin 500Mg /Accord,Tablet,Oral Solid,Drug,1,16-02-2024,18:33,2.37,2.37,1.59,0.78,5,Cash,New,EMP018,SUP012
1198295,MED0061,Ibulife 400Mg,Tablet,Oral Solid,Drug,2,16-02-2024,18:33,19.81,39.62,26.54,13.08,10,Insurance,New,EMP009,SUP004
1198295,MED0008,Heal Fast Gel 50Ml,Cream,Topical,Supply,1,16-02-2024,18:33,6.22,6.22,4.17,2.05,5,Cash,Regular,EMP005,SUP014
1198295,MED0010,Cosinus 60Ml Nose And Sinuses,Spray,Respiratory,Drug,2,16-02-2024,18:33,8.95,17.9,11.99,5.91,0,Mobile Payment,Insurance,EMP004,SUP001
1198343,MED0091,Acm Depiwhite Eye Contour,Gel,Topical,Supply,1,26-02-2024,14:35,7.06,7.06,4.73,2.33,0,Cash,Regular,EMP014,SUP013
1198398,MED0052,Arthri Flex,Gel,Topical,Drug,1,19-06-2024,17:39,10.75,10.75,7.2,3.55,15,Insurance,Insurance,EMP007,SUP012
1198398,MED0053,Bioflex Plus Join Repair Formula,Tablet,Oral Solid,Drug,1,19-06-2024,17:39,6.44,6.44,4.31,2.13,0,Card,Regular,EMP002,SUP002
1198463,MED0092,Cytomid 250Mg,Tablet,Oral Solid,Drug,6,01-11-2024,13:37,13.11,78.66,52.68,25.98,0,Mobile Payment,Regular,EMP019,SUP002
1198463,MED0093,Dilaprost 5Mg,Tablet,Oral Solid,Drug,3,01-11-2024,13:36,16.15,48.45,32.45,16,0,Card,Regular,EMP002,SUP004
1198500,MED0083,Isomac 20,Capsule,Oral Solid,Drug,2,25-02-2024,15:33,12.31,24.62,16.49,8.13,0,Insurance,Regular,EMP001,SUP003
1198500,MED0018,Caelin %2 Sulfur,Soap,Personal Care,Supply,1,25-02-2024,15:33,18.5,18.5,12.39,6.11,15,Mobile Payment,New,EMP004,SUP010
1198500,MED0027,Benzac Ac 5%,Cream,Topical,Drug,1,25-02-2024,15:32,6.43,6.43,4.31,2.12,0,Cash,New,EMP011,SUP006
